Rk,Player,Team,Conf,G,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Rushing_Y/G,Receiving_Rec,Receiving_Yds.1,Receiving_Y/R,Receiving_TD.1,Receiving_Y/G.1,Scrimmage_Plays,Scrimmage_Yds.2,Scrimmage_Avg,Scrimmage_TD.2,Scrimmage_Awards,Scrimmage_-9999
1,Ashton Jeanty,Boise State,MWC,14,374,2601,7,29,185.8,23,138,6,1,9.9,397,2739,6.9,30,H-2MaxwellAA,ashton-jeanty-1
2,Cameron Skattebo,Arizona State,Big 12,13,293,1711,5.8,21,131.6,45,605,13.4,3,46.5,338,2316,6.9,24,H-5,cameron-skattebo-1
3,Omarion Hampton*,North Carolina,ACC,12,281,1660,5.9,15,138.3,38,373,9.8,2,31.1,319,2033,6.4,17,,omarion-hampton-1
4,Bryson Daily*,Army,American,13,310,1659,5.4,32,127.6,0,0,,0,0,310,1659,5.4,32,H-6,bryson-daily-1
5,Tre Stewart*,Jacksonville State,CUSA,14,278,1638,5.9,25,117,18,234,13,1,16.7,296,1872,6.3,26,,tre-stewart-1
6,R.J. Harvey,UCF,Big 12,12,232,1577,6.8,22,131.4,20,267,13.4,3,22.3,252,1844,7.3,25,,rj-harvey-1
7,Kaleb Johnson*,Iowa,Big Ten,12,240,1537,6.4,21,128.1,22,188,8.5,2,15.7,262,1725,6.6,23,AA,kaleb-johnson-2
8,Tahj Brooks*,Texas Tech,Big 12,11,286,1505,5.3,17,136.8,28,199,7.1,1,18.1,314,1704,5.4,18,,tahj-brooks-1
9,Dylan Sampson,Tennessee,SEC,13,258,1491,5.8,22,114.7,20,143,7.2,0,11,278,1634,5.9,22,,dylan-sampson-1
10,Makhi Hughes*,Tulane,American,14,265,1401,5.3,15,100.1,19,176,9.3,2,12.6,284,1577,5.6,17,,makhi-hughes-1
11,Mario Anderson*,Memphis,American,13,236,1362,5.8,18,104.8,52,312,6,3,24,288,1674,5.8,21,,mario-anderson-1
12,Ahmad Hardy,Louisiana-Monroe,Sun Belt,12,237,1351,5.7,13,112.6,8,72,9,0,6,245,1423,5.8,13,,ahmad-hardy-1
13,Tyler Huff*,Jacksonville State,CUSA,14,227,1344,5.9,15,96,0,0,,0,0,227,1344,5.9,15,,tyler-huff-1
14,DJ Giddens*,Kansas State,Big 12,12,205,1343,6.6,7,111.9,21,258,12.3,1,21.5,226,1601,7.1,8,,dj-giddens-1
15,Brashard Smith,SMU,ACC,14,235,1332,5.7,14,95.1,39,327,8.4,4,23.4,274,1659,6.1,18,,brashard-smith-1
16,Kyle Monangai*,Rutgers,Big Ten,11,256,1279,5,13,116.3,14,75,5.4,1,6.8,270,1354,5,14,,kyle-monangai-1
17,Marquez Cooper,San Diego State,MWC,12,292,1274,4.4,12,106.2,20,137,6.9,2,11.4,312,1411,4.5,14,,marquez-cooper-1
18,Jordan James,Oregon,Big Ten,14,233,1267,5.4,15,90.5,26,209,8,0,14.9,259,1476,5.7,15,,jordan-james-3
