Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1,Fernando Mendoza*,Indiana,Big Ten,16,273,379,72,3535,41,10.8,6,1.6,9.3,10.78,12.9,220.9,182.9,"H-1,Maxwell,AA,Camp"
2,Drew Mestemaker*,North Texas,American,14,319,463,68.9,4379,34,7.3,9,1.9,9.5,10.05,13.7,312.8,168.7,
3,Darian Mensah*,Duke,ACC,14,334,500,66.8,3973,34,6.8,6,1.2,7.9,8.77,11.9,283.8,153.6,
4,Julian Sayin,Ohio State,Big Ten,14,301,391,77,3610,32,8.2,8,2,9.2,9.95,12,257.9,177.5,H-4
5,Sawyer Robertson,Baylor,Big 12,12,304,504,60.3,3681,31,6.2,12,2.4,7.3,7.46,12.1,306.8,137.2,
6,Owen McCown*,UTSA,American,13,277,410,67.6,2995,30,7.3,7,1.7,7.3,8,10.8,230.4,149.7,
7,Dante Moore*,Oregon,Big Ten,15,296,412,71.8,3565,30,7.3,10,2.4,8.7,9.02,12,237.7,163.7,
8,Carson Beck*,Miami (FL),ACC,16,338,467,72.4,3813,30,6.4,12,2.6,8.2,8.29,11.3,238.3,157,
9,Diego Pavia*,Vanderbilt,SEC,13,267,378,70.6,3539,29,7.7,8,2.1,9.4,9.94,13.3,272.2,170.4,H-2
10,Josh Hoover*,Texas Christian,Big 12,12,272,413,65.9,3472,29,7,13,3.1,8.4,8.39,12.8,289.3,153.4,
11,Noah Fifita*,Arizona,Big 12,13,275,428,64.3,3228,29,6.8,6,1.4,7.5,8.27,11.7,248.3,147.2,
12,Byrum Brown*,South Florida,American,12,226,341,66.3,3158,28,8.2,7,2.1,9.3,9.98,14,263.2,167.1,
13,Jacob Clark*,Missouri State,CUSA,12,247,376,65.7,3244,28,7.4,11,2.9,8.6,8.8,13.1,270.3,156.9,
14,Joe Fagnano*,Connecticut,Ind,12,285,413,69,3448,28,6.8,1,0.2,8.3,9.6,12.1,287.3,161,
15,Ty Simpson,Alabama,SEC,15,305,473,64.5,3567,28,5.9,5,1.1,7.5,8.25,11.7,237.8,145.2,
16,Brendan Sorsby*,Cincinnati,Big 12,12,207,336,61.6,2800,27,8,5,1.5,8.3,9.27,13.5,233.3,155.1,
17,Arch Manning*,Texas,SEC,13,248,404,61.4,3163,26,6.4,7,1.7,7.8,8.34,12.8,243.3,144.9,
