Rk,Player,Team,Conf,G,Receiving_Rec,Receiving_Yds,Receiving_Yards_Per_Rec,Receiving_TD,Receiving_Yards_Per_Game,Rushing_Att,Rushing_Yds,Rushing_Yards_Per_Att,Rushing_TD,Rushing_Yards_Per_Game,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Yards_Per_Play,Scrimmage_TD,Awards
1,Harold Fannin Jr.*,Bowling Green,MAC,13,117,1555,13.3,10,119.6,9,65,7.2,1,5,126,1620,12.9,11,AA
2,Nick Nash*,San Jose State,MWC,12,104,1382,13.3,16,115.2,1,-9,-9,0,-0.8,105,1373,13.1,16,AA
3,Tetairoa McMillan,Arizona,Big 12,12,84,1319,15.7,8,109.9,0,0,,0,0,84,1319,15.7,8,AA
4,Jeremiah Smith*,Ohio State,Big Ten,16,76,1315,17.3,15,82.2,6,47,7.8,1,2.9,82,1362,16.6,16,
5,Travis Hunter*,Colorado,Big 12,13,96,1258,13.1,15,96.8,2,5,2.5,1,0.4,98,1263,12.9,16,H-1BednarikAACamp
6,Coleman Owen*,Ohio,MAC,14,78,1245,16,8,88.9,2,26,13,1,1.9,80,1271,15.9,9,
7,Tyler Warren*,Penn State,Big Ten,16,104,1233,11.9,8,77.1,26,218,8.4,4,13.6,130,1451,11.2,12,H-7
8,Kyle Williams*,Washington State,Ind,13,70,1198,17.1,14,92.2,9,57,6.3,0,4.4,79,1255,15.9,14,
9,Jaylin Noel*,Iowa State,Big 12,14,80,1194,14.9,8,85.3,9,38,4.2,0,2.7,89,1232,13.8,8,
10,Jayden Higgins*,Iowa State,Big 12,13,87,1183,13.6,9,91,0,0,,0,0,87,1183,13.6,9,
11,Eric Rivers,Florida International,CUSA,12,62,1172,18.9,12,97.7,1,-3,-3,0,-0.3,63,1169,18.6,12,
12,Andrew Armstrong*,Arkansas,SEC,11,78,1140,14.6,1,103.6,0,0,,0,0,78,1140,14.6,1,
13,Jamaal Pritchett*,South Alabama,Sun Belt,12,91,1127,12.4,9,93.9,1,3,3,0,0.3,92,1130,12.3,9,
14,Xavier Restrepo*,Miami (FL),ACC,12,69,1127,16.3,11,93.9,0,0,,0,0,69,1127,16.3,11,AA
15,Tai Felton,Maryland,Big Ten,12,96,1124,11.7,9,93.7,2,23,11.5,0,1.9,98,1147,11.7,9,
16,Jordyn Tyson,Arizona State,Big 12,12,75,1101,14.7,10,91.8,1,1,1,0,0.1,76,1102,14.5,10,
17,Mac Dalena*,Fresno State,MWC,13,64,1065,16.6,8,81.9,5,39,7.8,0,3,69,1104,16,8,
18,Corey Rucker*,Arkansas State,Sun Belt,13,69,1053,15.3,7,81,0,0,,0,0,69,1053,15.3,7,
19,Jerjuan Newton*,Toledo,MAC,13,72,1048,14.6,11,80.6,1,1,1,0,0.1,73,1049,14.4,11,
20,Devonte Ross,Troy,Sun Belt,12,76,1043,13.7,11,86.9,9,35,3.9,0,2.9,85,1078,12.7,11,
21,Ricky White*,Nevada-Las Vegas,MWC,13,79,1041,13.2,11,80.1,1,1,1,0,0.1,80,1042,13,11,
22,Jack Bech*,Texas Christian,Big 12,12,62,1034,16.7,9,86.2,0,7,,0,0.6,62,1041,16.8,9,
23,Mario Williams*,Tulane,American,14,60,1031,17.2,6,73.6,2,12,6,0,0.9,62,1043,16.8,6,
24,Tre Harris*,Ole Miss,SEC,8,60,1030,17.2,7,128.8,0,0,,0,0,60,1030,17.2,7,
25,Josh Kelly*,Texas Tech,Big 12,12,89,1023,11.5,5,85.3,0,0,,0,0,89,1023,11.5,5,
26,Jackson Meeks*,Syracuse,ACC,13,78,1021,13.1,7,78.5,0,0,,0,0,78,1021,13.1,7,
