Rk,Player,Team,Conf,G,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Rushing_Y/G,Receiving_Rec,Receiving_Yds.1,Receiving_Y/R,Receiving_TD.1,Receiving_Y/G.1,Scrimmage_Plays,Scrimmage_Yds.2,Scrimmage_Avg,Scrimmage_TD.2,Scrimmage_Awards
1,Lew Nichols*,Central Michigan,MAC,13,341,1848,5.4,16,142.2,40,338,8.5,2,26,381,2186,5.7,18,
2,Kenneth Walker III*,Michigan State,Big Ten,12,263,1636,6.2,18,136.3,13,89,6.8,1,7.4,276,1725,6.3,19,H-6AACamp
3,Abram Smith*,Baylor,Big 12,14,257,1621,6.3,12,115.8,13,75,5.8,0,5.4,270,1696,6.3,12,
4,Tyler Allgeier*,BYU,Ind,13,276,1606,5.8,23,123.5,28,199,7.1,0,15.3,304,1805,5.9,23,
5,Tyler Badie*,Missouri,SEC,12,268,1604,6,14,133.7,54,330,6.1,4,27.5,322,1934,6,18,
6,Sean Tucker,Syracuse,ACC,12,246,1496,6.1,12,124.7,20,255,12.8,2,21.3,266,1751,6.6,14,
7,Sincere McCormick*,UTSA,CUSA,14,298,1479,5,15,105.6,22,184,8.4,0,13.1,320,1663,5.2,15,
8,Breece Hall*,Iowa State,Big 12,12,253,1464,5.8,20,122,36,302,8.4,3,25.2,289,1766,6.1,23,H-10AA
9,Deuce Vaughn*,Kansas State,Big 12,13,235,1404,6,18,108,49,468,9.6,4,36,284,1872,6.6,22,AA
10,Rasheen Ali*,Marshall,CUSA,13,250,1401,5.6,23,107.8,46,342,7.4,1,26.3,296,1743,5.9,24,
11,Bryant Koback*,Toledo,MAC,13,208,1400,6.7,15,107.7,30,334,11.1,3,25.7,238,1734,7.3,18,
12,Christopher Rodriguez Jr.*,Kentucky,SEC,13,225,1379,6.1,9,106.1,13,61,4.7,3,4.7,238,1440,6.1,12,
13,DeWayne McBride*,UAB,CUSA,13,204,1371,6.7,13,105.5,3,19,6.3,0,1.5,207,1390,6.7,13,
14,Brad Roberts*,Air Force,MWC,13,299,1356,4.5,13,104.3,0,0,,0,0,299,1356,4.5,13,
15,Brian Robinson Jr.*,Alabama,SEC,14,271,1343,5,14,95.9,35,296,8.5,2,21.1,306,1639,5.4,16,
16,B.J. Baylor*,Oregon State,Pac-12,13,227,1337,5.9,13,102.8,8,75,9.4,0,5.8,235,1412,6,13,
17,Hassan Haskins*,Michigan,Big Ten,14,270,1327,4.9,20,94.8,18,131,7.3,0,9.4,288,1458,5.1,20,
18,Jerome Ford*,Cincinnati,American,13,214,1319,6.2,19,101.5,21,220,10.5,1,16.9,235,1539,6.5,20,
19,Travis Dye*,Oregon,Pac-12,14,211,1271,6,16,90.8,46,402,8.7,2,28.7,257,1673,6.5,18,
20,Braelon Allen*,Wisconsin,Big Ten,12,186,1268,6.8,12,105.7,8,39,4.9,0,3.3,194,1307,6.7,12,
21,Charles Williams,Nevada-Las Vegas,MWC,12,254,1261,5,15,105.1,13,202,15.5,0,16.8,267,1463,5.5,15,
22,Kennedy Brooks*,Oklahoma,Big 12,13,198,1253,6.3,13,96.4,9,73,8.1,0,5.6,207,1326,6.4,13,
23,TreVeyon Henderson*,Ohio State,Big Ten,13,183,1248,6.8,15,96,27,312,11.6,4,24,210,1560,7.4,19,
24,Mataeo Durant,Duke,ACC,12,255,1241,4.9,9,103.4,27,256,9.5,2,21.3,282,1497,5.3,11,
25,Jaylen Warren*,Oklahoma State,Big 12,14,256,1216,4.8,11,86.9,25,225,9,0,16.1,281,1441,5.1,11,
26,Deandre Torrey*,North Texas,CUSA,12,248,1215,4.9,13,101.3,12,115,9.6,1,9.6,260,1330,5.1,14,
27,Marquez Cooper*,Kent State,MAC,14,241,1205,5,11,86.1,10,95,9.5,0,6.8,251,1300,5.2,11,
28,Jevyon Ducker*,Northern Illinois,MAC,12,218,1184,5.4,3,98.7,1,15,15,0,1.3,219,1199,5.5,3,
29,Tyler Goodson*,Iowa,Big Ten,13,256,1151,4.5,6,88.5,31,247,8,1,19,287,1398,4.9,7,
30,Sean Tyler*,Western Michigan,MAC,13,178,1140,6.4,9,87.7,14,114,8.1,2,8.8,192,1254,6.5,11,
31,Ellis Merriweather,Massachusetts,Ind,12,218,1138,5.2,5,94.8,22,165,7.5,1,13.8,240,1303,5.4,6,
32,Zach Charbonnet,UCLA,Pac-12,12,203,1137,5.6,13,94.8,24,197,8.2,0,16.4,227,1334,5.9,13,
33,Keaton Mitchell,East Carolina,American,12,174,1132,6.5,9,94.3,22,253,11.5,1,21.1,196,1385,7.1,10,
34,Bijan Robinson,Texas,Big 12,10,195,1127,5.8,11,112.7,26,295,11.3,4,29.5,221,1422,6.4,15,
35,Nate Noel*,Appalachian State,Sun Belt,14,199,1126,5.7,4,80.4,8,16,2,0,1.1,207,1142,5.5,4,
36,Blake Watson*,Old Dominion,CUSA,11,215,1112,5.2,8,101.1,10,55,5.5,1,5,225,1167,5.2,9,
37,Tavion Thomas*,Utah,Pac-12,13,204,1108,5.4,21,85.2,2,3,1.5,0,0.2,206,1111,5.4,21,
38,Tank Bigsby*,Auburn,SEC,13,224,1102,4.9,10,84.8,21,184,8.8,0,14.2,245,1286,5.2,10,
