Rk,Player,Team,Conf,G,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Rushing_Y/G,Receiving_Rec,Receiving_Yds.1,Receiving_Y/R,Receiving_TD.1,Receiving_Y/G.1,Scrimmage_Plays,Scrimmage_Yds.2,Scrimmage_Avg,Scrimmage_TD.2,Scrimmage_Awards
1,Breece Hall*,Iowa State,Big 12,12,279,1572,5.6,21,131,23,180,7.8,2,15,302,1752,5.8,23,H-6AA
2,Sincere McCormick*,UTSA,CUSA,11,249,1467,5.9,11,133.4,20,131,6.6,0,11.9,269,1598,5.9,11,
3,Najee Harris*,Alabama,SEC,13,251,1466,5.8,26,112.8,43,425,9.9,4,32.7,294,1891,6.4,30,H-5AA
4,Michael Carter*,North Carolina,ACC,11,156,1245,8,9,113.2,25,267,10.7,2,24.3,181,1512,8.4,11,
5,Khalil Herbert,Virginia Tech,ACC,11,154,1182,7.7,8,107.5,10,179,17.9,1,16.3,164,1361,8.3,9,
6,Javonte Williams*,North Carolina,ACC,11,157,1140,7.3,19,103.6,25,305,12.2,3,27.7,182,1445,7.9,22,
7,Kevin Harris,South Carolina,SEC,10,185,1138,6.2,15,113.8,21,159,7.6,1,15.9,206,1297,6.3,16,
8,Tyler Allgeier*,BYU,Ind,11,150,1130,7.5,13,102.7,14,174,12.4,0,15.8,164,1304,8,13,
9,Kyren Williams*,Notre Dame,ACC,12,211,1125,5.3,13,93.8,35,313,8.9,1,26.1,246,1438,5.8,14,
10,Camerun Peoples*,Appalachian State,Sun Belt,12,168,1124,6.7,12,93.7,3,15,5,0,1.3,171,1139,6.7,12,
11,Mohamed Ibrahim,Minnesota,Big Ten,7,201,1076,5.4,15,153.7,8,56,7,0,8,209,1132,5.4,15,
12,Jaret Patterson*,Buffalo,MAC,6,141,1072,7.6,19,178.7,0,0,,0,0,141,1072,7.6,19,
13,Isaiah Spiller*,Texas A&M,SEC,10,188,1036,5.5,9,103.6,20,193,9.7,0,19.3,208,1229,5.9,9,
14,Leddie Brown*,West Virginia,Big 12,10,199,1010,5.1,9,101,31,202,6.5,2,20.2,230,1212,5.3,11,
15,Larry Rountree III,Missouri,SEC,10,209,972,4.7,14,97.2,15,100,6.7,0,10,224,1072,4.8,14,
16,Malik Willis*,Liberty,Ind,10,141,944,6.7,14,94.4,0,0,,0,0,141,944,6.7,14,
17,Travis Etienne*,Clemson,ACC,12,168,914,5.4,14,76.2,48,588,12.3,2,49,216,1502,7,16,AA
18,Ulysses Bentley IV,SMU,American,10,170,913,5.4,11,91.3,21,174,8.3,1,17.4,191,1087,5.7,12,
19,Jarek Broussard*,Colorado,Pac-12,6,156,895,5.7,5,149.2,9,65,7.2,0,10.8,165,960,5.8,5,
20,Spencer Brown,UAB,CUSA,8,186,889,4.8,10,111.1,5,35,7,0,4.4,191,924,4.8,10,
21,Brenden Knox*,Marshall,CUSA,10,185,887,4.8,9,88.7,7,86,12.3,1,8.6,192,973,5.1,10,
22,C.J. Marable*,Coastal Carolina,Sun Belt,12,169,887,5.2,12,73.9,31,228,7.4,7,19,200,1115,5.6,19,
23,Elijah Mitchell*,Louisiana,Sun Belt,10,141,878,6.2,8,87.8,16,153,9.6,0,15.3,157,1031,6.6,8,
24,Trey Sermon*,Ohio State,Big Ten,8,116,870,7.5,4,108.8,12,95,7.9,0,11.9,128,965,7.5,4,
25,Jermar Jefferson,Oregon State,Pac-12,6,133,858,6.5,7,143,9,67,7.4,0,11.2,142,925,6.5,7,
26,Tank Bigsby*,Auburn,SEC,10,138,834,6,5,83.4,11,84,7.6,0,8.4,149,918,6.2,5,
27,Javian Hawkins,Louisville,ACC,8,133,822,6.2,7,102.8,16,127,7.9,1,15.9,149,949,6.4,8,
28,Mataeo Durant,Duke,ACC,11,120,817,6.8,8,74.3,12,107,8.9,1,9.7,132,924,7,9,
29,Joshua Mack*,Liberty,Ind,10,139,797,5.7,4,79.7,6,18,3,0,1.8,145,815,5.6,4,
30,Zonovan Knight*,North Carolina State,ACC,12,143,788,5.5,10,65.7,20,136,6.8,0,11.3,163,924,5.7,10,
31,Christopher Rodriguez Jr.*,Kentucky,SEC,9,119,785,6.6,11,87.2,1,12,12,0,1.3,120,797,6.6,11,
32,Zamir White*,Georgia,SEC,10,144,779,5.4,11,77.9,6,37,6.2,0,3.7,150,816,5.4,11,
33,Stephon Huderson*,Tulane,American,12,128,773,6,4,64.4,7,87,12.4,0,7.3,135,860,6.4,4,
34,Eric Gray,Tennessee,SEC,9,157,772,4.9,4,85.8,30,254,8.5,2,28.2,187,1026,5.5,6,
35,Destin Coates*,Georgia State,Sun Belt,9,166,769,4.6,7,85.4,12,65,5.4,0,7.2,178,834,4.7,7,
36,Tyler Goodson,Iowa,Big Ten,8,143,762,5.3,7,95.3,15,152,10.1,0,19,158,914,5.8,7,
37,Greg McCrae*,UCF,American,10,149,758,5.1,10,75.8,14,98,7,0,9.8,163,856,5.3,10,
38,Trey Ragas*,Louisiana,Sun Belt,11,131,758,5.8,10,68.9,9,106,11.8,2,9.6,140,864,6.2,12,
39,Jerrion Ealy*,Ole Miss,SEC,9,147,745,5.1,9,82.8,15,155,10.3,1,17.2,162,900,5.6,10,
40,Cameron Carroll*,Tulane,American,12,122,741,6.1,12,61.8,4,49,12.3,1,4.1,126,790,6.3,13,
41,Kevin Marks*,Buffalo,MAC,7,112,741,6.6,7,105.9,4,3,0.8,0,0.4,116,744,6.4,7,
42,Christian Beal*,Wake Forest,ACC,9,142,732,5.2,5,81.3,5,42,8.4,0,4.7,147,774,5.3,5,
43,Christian Beal-Smith*,Wake Forest,ACC,9,142,732,5.2,5,81.3,5,42,8.4,0,4.7,147,774,5.3,5,
44,Shai Werts*,Georgia Southern,Sun Belt,11,146,720,4.9,11,65.5,0,0,,0,0,146,720,4.9,11,
45,Trelon Smith,Arkansas,SEC,10,134,710,5.3,5,71,22,159,7.2,1,15.9,156,869,5.6,6,
46,Frank Gore Jr.,Southern Mississippi,CUSA,10,121,708,5.9,2,70.8,9,97,10.8,1,9.7,130,805,6.2,3,
47,Bijan Robinson*,Texas,Big 12,9,86,703,8.2,4,78.1,15,196,13.1,2,21.8,101,899,8.9,6,
48,Otis Anderson*,UCF,American,9,125,687,5.5,4,76.3,14,79,5.6,0,8.8,139,766,5.5,4,
