Rk,School,Conf,W,L,Pct,Conference_W,Conference_L,Conference_Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC,13,1,0.929,8,0,1,34.6,19.3,16.51,2.94,8,3,6,
2,Louisville,ACC,10,4,0.714,7,1,0.875,30.7,21.3,10.42,3.64,,9,19,
3,North Carolina State,ACC,9,4,0.692,6,2,0.75,26.2,20.8,7.41,3.03,,19,21,
4,Georgia Tech,ACC,7,6,0.538,5,3,0.625,31.1,29.5,3.71,2.78,,,,
5,Virginia Tech,ACC,7,6,0.538,5,3,0.625,29.5,23.9,5.9,1.29,,,,
6,Clemson,ACC,9,4,0.692,4,4,0.5,29.8,21.1,9.82,3.28,9,9,20,
7,Duke,ACC,8,5,0.615,4,4,0.5,26.9,19,9.02,3.1,,16,,
8,North Carolina,ACC,8,5,0.615,4,4,0.5,34.5,27.3,6.01,1.63,21,10,,
9,Boston College,ACC,7,6,0.538,3,5,0.375,24.8,28.3,-2.55,0.14,,,,
10,Miami (FL),ACC,7,6,0.538,3,5,0.375,31.5,22.8,7.97,2.27,,17,,
11,Syracuse,ACC,6,7,0.462,2,6,0.25,23.5,25.4,-2.93,-0.55,,,,
12,Pitt,ACC,3,9,0.25,2,6,0.25,20.2,27.3,-3.28,3.14,,,,
13,Virginia,ACC,3,9,0.25,2,6,0.25,23.3,33.8,-3.78,4.8,,,,
14,Wake Forest,ACC,4,8,0.333,1,7,0.125,20.3,27.2,-3.32,2.51,,,,
15,SMU,American,11,3,0.786,8,0,1,38.7,17.8,7.41,-4.45,,17,22,
16,Tulane,American,11,3,0.786,8,0,1,26.4,20.5,3.99,-2.51,24,17,,
17,UTSA,American,9,4,0.692,7,1,0.875,31.9,24.1,3.42,-4.19,,,,
18,Memphis,American,10,3,0.769,6,2,0.75,39.4,28.8,6.29,-2.86,,,,
19,South Florida,American,7,6,0.538,4,4,0.5,31.9,32.2,-4.92,-4.46,,,,
20,Rice,American,6,7,0.462,4,4,0.5,29.5,28.1,-3.94,-3.02,,,,
21,Navy,American,5,7,0.417,4,4,0.5,17.7,22.4,-5.82,-3.99,,,,
22,North Texas,American,5,7,0.417,3,5,0.375,34.5,37.1,-7.17,-5.09,,,,
23,Florida Atlantic,American,4,8,0.333,3,5,0.375,23.8,25.5,-7.01,-4.34,,,,
24,UAB,American,4,8,0.333,3,5,0.375,29.9,36.9,-9.75,-2.75,,,,
25,Tulsa,American,4,8,0.333,2,6,0.25,23.4,33.8,-8.23,-2.98,,,,
26,Charlotte,American,3,9,0.25,2,6,0.25,17.5,28.6,-12.91,-2.91,,,,
27,Temple,American,3,9,0.25,1,7,0.125,21.1,35.7,-14.4,-3.65,,,,
28,East Carolina,American,2,10,0.167,1,7,0.125,17.3,22.4,-9.26,-1.67,,,,
29,UCF,Big 12,6,7,0.462,3,6,0.333,31.3,25.8,2.34,1.11,,,,
30,Houston,Big 12,4,8,0.333,2,7,0.222,23.7,31.5,-2.54,3.63,,,,
31,Cincinnati,Big 12,3,9,0.25,1,8,0.111,24.1,30,-6.01,1.57,,,,
32,Texas,Big 12,12,2,0.857,8,1,0.889,35.8,18.9,20.32,6.61,11,3,3,
33,Oklahoma,Big 12,10,3,0.769,7,2,0.778,41.7,23.5,15.86,4.78,20,5,15,
34,Oklahoma State,Big 12,10,4,0.714,7,2,0.778,29.6,28.6,6.45,3.95,,15,16,
35,Kansas State,Big 12,9,4,0.692,6,3,0.667,37.1,21,15.63,5.09,16,15,18,
36,West Virginia,Big 12,9,4,0.692,6,3,0.667,31.5,26.2,7.03,1.95,,,,
37,Iowa State,Big 12,7,6,0.538,6,3,0.667,26.2,22.8,7.2,4.2,,,,
38,Kansas,Big 12,9,4,0.692,5,4,0.556,34.8,26.5,9.06,2.67,,19,23,
39,Texas Tech,Big 12,7,6,0.538,5,4,0.556,27.4,26,6.94,4.32,,,,
40,Texas Christian,Big 12,5,7,0.417,3,6,0.333,31.3,27.8,6.4,4.48,17,17,,
41,BYU,Big 12,5,7,0.417,2,7,0.222,23.1,29.8,-0.92,3.67,,,,
42,Baylor,Big 12,3,9,0.25,2,7,0.222,23.1,33.3,-4.86,3.72,,,,
43,Michigan,Big Ten (East),15,0,1,9,0,1,35.9,10.4,25.01,5.61,2,1,1,
