Rk,Player,Team,Conf,G,Passing_Completions,Passing_Attempts,Passing_Completion_pct,Passing_Yards,Passing_TD,Passing_TD_pct,Passing_INT,Passing_INT_pct,Yards_per_Attempt,Adjusted_Yards_per_Attempt,Yards_per_Completion,Yards_per_Game,Passer_Rating,Awards
1,Mac Jones*,Alabama,SEC,13,311,402,77.4,4500,41,10.2,4,1,11.2,12.79,14.5,346.2,203.1,H-3AA
2,Kyle Trask*,Florida,SEC,12,301,437,68.9,4283,43,9.8,8,1.8,9.8,10.95,14.2,356.9,180,H-4
3,Zach Wilson*,BYU,Ind,12,247,336,73.5,3692,33,9.8,3,0.9,11,12.55,14.9,307.7,196.4,H-8
4,Sam Howell*,North Carolina,ACC,12,237,348,68.1,3586,30,8.6,7,2,10.3,11.12,15.1,298.8,179.1,
5,Dillon Gabriel*,UCF,American,10,248,413,60,3570,32,7.7,4,1,8.6,9.76,14.4,357,156.3,
6,Brady White*,Memphis,American,11,254,420,60.5,3380,31,7.4,10,2.4,8,8.45,13.3,307.3,147.7,
7,Matt Corral*,Ole Miss,SEC,10,231,326,70.9,3337,29,8.9,14,4.3,10.2,10.08,14.4,333.7,177.6,
8,Trevor Lawrence*,Clemson,ACC,10,231,334,69.2,3153,24,7.2,5,1.5,9.4,10.2,13.6,315.3,169.2,H-2
9,Shane Buechele,SMU,American,10,242,370,65.4,3095,23,6.2,6,1.6,8.4,8.88,12.8,309.5,152.9,
10,Spencer Rattler*,Oklahoma,Big 12,11,214,317,67.5,3031,28,8.8,7,2.2,9.6,10.33,14.2,275.5,172.6,
11,Carson Strong*,Nevada,MWC,9,249,355,70.1,2858,27,7.6,4,1.1,8.1,9.06,11.5,317.6,160.6,
12,Ian Book*,Notre Dame,ACC,12,228,353,64.6,2830,15,4.2,3,0.8,8,8.48,12.4,235.8,144.3,H-9
13,Brock Purdy*,Iowa State,Big 12,12,243,365,66.6,2750,19,5.2,9,2.5,7.5,7.47,11.3,229.2,142.1,
14,D'Eriq King*,Miami (FL),ACC,11,211,329,64.1,2686,23,7,5,1.5,8.2,8.88,12.7,244.2,152.7,
15,Malik Cunningham,Louisville,ACC,11,195,304,64.1,2617,20,6.6,12,3.9,8.6,8.15,13.4,237.9,150.3,
16,Jarret Doege*,West Virginia,Big 12,10,239,374,63.9,2587,14,3.7,4,1.1,6.9,7.18,10.8,258.7,132.2,
17,Sam Ehlinger*,Texas,Big 12,10,194,322,60.2,2566,26,8.1,5,1.6,8,8.89,13.2,256.6,150.7,
18,Phil Jurkovec,Boston College,ACC,10,205,336,61,2558,17,5.1,5,1.5,7.6,7.96,12.5,255.8,138.7,
19,Grayson McCall*,Coastal Carolina,Sun Belt,11,172,250,68.8,2488,26,10.4,3,1.2,10,11.49,14.5,226.2,184.3,
20,Bo Nix*,Auburn,SEC,11,214,357,59.9,2415,12,3.4,7,2,6.8,6.55,11.3,219.5,123.9,
21,Kenny Pickett,Pitt,ACC,9,203,332,61.1,2408,13,3.9,9,2.7,7.3,6.82,11.9,267.6,129.6,
22,Connor Bazelak,Missouri,SEC,10,218,324,67.3,2366,7,2.2,6,1.9,7.3,6.9,10.9,236.6,132.1,
23,Desmond Ridder*,Cincinnati,American,10,186,281,66.2,2296,19,6.8,6,2.1,8.2,8.56,12.3,229.6,152.9,
24,Kellen Mond*,Texas A&M,SEC,10,188,297,63.3,2282,19,6.4,3,1,7.7,8.51,12.1,228.2,146.9,
25,Cornelious Brown*,Georgia State,Sun Belt,10,178,304,58.6,2278,17,5.6,10,3.3,7.5,7.13,12.8,227.8,133.4,
26,Levi Lewis*,Louisiana,Sun Belt,11,177,297,59.6,2274,19,6.4,7,2.4,7.7,7.88,12.8,206.7,140.3,
27,Malik Willis*,Liberty,Ind,10,170,265,64.2,2260,20,7.5,6,2.3,8.5,9.02,13.3,226,156.2,
28,Sam Hartman*,Wake Forest,ACC,9,159,273,58.2,2224,13,4.8,5,1.8,8.1,8.27,14,247.1,138.7,
29,Zac Thomas*,Appalachian State,Sun Belt,12,186,291,63.9,2189,20,6.9,11,3.8,7.5,7.2,11.8,182.4,142.2,
30,Nick Starkel*,San Jose State,MWC,8,163,254,64.2,2174,17,6.7,7,2.8,8.6,8.66,13.3,271.8,152.6,
31,Chase Brice,Duke,ACC,11,193,352,54.8,2170,10,2.8,15,4.3,6.2,4.82,11.2,197.3,107.5,
32,Drew Plitt*,Ball State,MAC,8,164,250,65.6,2154,17,6.8,6,2.4,8.6,8.9,13.1,269.3,155.6,
33,Gunnar Watson,Troy,Sun Belt,9,211,301,70.1,2141,16,5.3,7,2.3,7.1,7.13,10.1,237.9,142.7,
34,Brennan Armstrong,Virginia,ACC,9,157,268,58.6,2117,18,6.7,11,4.1,7.9,7.4,13.5,235.2,138.9,
35,Feleipe Franks,Arkansas,SEC,10,163,238,68.5,2107,17,7.1,4,1.7,8.9,9.53,12.9,210.7,163.1,
36,Justin Fields*,Ohio State,Big Ten,8,158,225,70.2,2100,22,9.8,6,2.7,9.3,10.09,13.3,262.5,175.6,H-7
37,Grant Wells*,Marshall,CUSA,10,165,270,61.1,2091,18,6.7,9,3.3,7.7,7.58,12.7,209.1,141.5,
38,Bailey Hockman*,North Carolina State,ACC,10,171,266,64.3,2088,13,4.9,11,4.1,7.8,6.97,12.2,208.8,138.1,
39,Chevan Cordeiro*,Hawaii,MWC,9,195,313,62.3,2083,14,4.5,6,1.9,6.7,6.69,10.7,231.4,129.1,
40,Layne Hatcher,Arkansas State,Sun Belt,11,116,194,59.8,2058,19,9.8,2,1,10.6,12.1,17.7,187.1,179.2,
41,Clayton Tune*,Houston,American,8,170,285,59.6,2048,15,5.3,10,3.5,7.2,6.66,12,256,130.4,
42,Jake Haener,Fresno State,MWC,6,150,232,64.7,2021,14,6,5,2.2,8.7,8.95,13.5,336.8,153.4,
43,Spencer Sanders*,Oklahoma State,Big 12,9,155,247,62.8,2007,14,5.7,8,3.2,8.1,7.8,12.9,223,143.2,
44,Will Rogers*,Mississippi State,SEC,9,239,346,69.1,1976,11,3.2,7,2,5.7,5.44,8.3,219.6,123.5,
45,Asher O'Hara,Middle Tennessee State,CUSA,9,192,288,66.7,1960,12,4.2,8,2.8,6.8,6.39,10.2,217.8,132,
46,Charlie Brewer,Baylor,Big 12,9,198,321,61.7,1958,14,4.4,8,2.5,6.1,5.85,9.9,217.6,122.3,
47,Zach Smith*,Tulsa,American,9,147,263,55.9,1947,13,4.9,10,3.8,7.4,6.68,13.2,216.3,126.8,
48,Ken Seals,Vanderbilt,SEC,9,186,288,64.6,1928,12,4.2,10,3.5,6.7,5.97,10.4,214.2,127.6,
49,Brady McBride,Texas State,Sun Belt,9,173,282,61.3,1925,17,6,7,2.5,6.8,6.91,11.1,213.9,133.6,
50,Holton Ahlers,East Carolina,American,8,165,269,61.3,1921,18,6.7,9,3.3,7.1,6.97,11.6,240.1,136.7,
51,Kedon Slovis,USC,Pac-12,6,177,264,67,1921,17,6.4,7,2.7,7.3,7.37,10.9,320.2,144.1,
52,Desmond Trotter,South Alabama,Sun Belt,10,160,248,64.5,1917,11,4.4,4,1.6,7.7,7.89,12,191.7,140.9,
53,Sean Clifford,Penn State,Big Ten,9,152,251,60.6,1883,16,6.4,9,3.6,7.5,7.16,12.4,209.2,137.4,
54,Jeff Sims,Georgia Tech,ACC,10,141,257,54.9,1881,13,5.1,13,5.1,7.3,6.05,13.3,188.1,122.9,
55,Logan Bonner,Arkansas State,Sun Belt,11,156,262,59.5,1863,18,6.9,6,2.3,7.1,7.45,11.9,169.4,137.4,
56,Michael Pratt*,Tulane,American,10,140,254,55.1,1806,20,7.9,8,3.1,7.1,7.27,12.9,180.6,134.5,
57,Max Duggan,Texas Christian,Big 12,10,146,240,60.8,1795,10,4.2,4,1.7,7.5,7.56,12.3,179.5,134.1,
58,Peyton Ramsey*,Northwestern,Big Ten,9,172,282,61,1733,12,4.3,8,2.8,6.1,5.72,10.1,192.6,121,
59,Kaleb Eleby,Western Michigan,MAC,6,99,153,64.7,1715,18,11.8,2,1.3,11.2,12.97,17.3,285.8,195.1,
60,Preston Hutchinson,Eastern Michigan,MAC,6,126,198,63.6,1657,12,6.1,6,3,8.4,8.22,13.2,276.2,147.9,
61,Austin Aune*,North Texas,CUSA,8,101,185,54.6,1650,13,7,4,2.2,8.9,9.35,16.3,206.3,148.4,
62,Michael Penix Jr.*,Indiana,Big Ten,6,124,220,56.4,1645,14,6.4,4,1.8,7.5,7.93,13.3,274.2,136.5,
63,Frank Harris*,UTSA,CUSA,12,159,250,63.6,1630,12,4.8,6,2.4,6.5,6.4,10.3,135.8,129.4,
64,Tyrrell Pigrome*,Western Kentucky,CUSA,11,171,297,57.6,1603,9,3,2,0.7,5.4,5.7,9.4,145.7,111.6,
65,Alan Bowman,Texas Tech,Big 12,8,150,232,64.7,1602,10,4.3,7,3,6.9,6.41,10.7,200.3,130.8,
66,Spencer Petras,Iowa,Big Ten,8,140,245,57.1,1569,9,3.7,5,2,6.4,6.22,11.2,196.1,119,
67,Tyler Shough*,Oregon,Pac-12,7,106,167,63.5,1559,13,7.8,6,3.6,9.3,9.28,14.7,222.7,160.4,
68,Colby Suits,Louisiana-Monroe,Sun Belt,8,152,249,61,1541,8,3.2,7,2.8,6.2,5.57,10.1,192.6,118,
69,Davis Mills,Stanford,Pac-12,5,129,195,66.2,1508,7,3.6,3,1.5,7.7,7.76,11.7,301.6,139.9,
70,Luke Anthony*,Louisiana Tech,CUSA,9,138,221,62.4,1479,16,7.2,5,2.3,6.7,7.12,10.7,164.3,138,
71,Gavin Hardison,UTEP,CUSA,7,108,199,54.3,1419,5,2.5,5,2.5,7.1,6.5,13.1,202.7,117.4,
72,Collin Hill,South Carolina,SEC,8,127,215,59.1,1411,6,2.8,6,2.8,6.6,5.87,11.1,176.4,117.8,
