Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1,Michael Penix Jr.*,Washington,Pac-12,15,363,555,65.4,4903,36,6.5,11,2,8.8,9.24,13.5,326.9,157.1,"H-2,Maxwell"
2,Bo Nix*,Oregon,Pac-12,14,364,470,77.4,4508,45,9.6,3,0.6,9.6,11.22,12.4,322,188.3,H-3
3,Carson Beck*,Georgia,SEC,14,302,417,72.4,3941,24,5.8,6,1.4,9.5,9.95,13,281.5,167.9,
4,Seth Henigan*,Memphis,American,13,318,476,66.8,3883,32,6.7,9,1.9,8.2,8.65,12.2,298.7,153.7,
5,Jayden Daniels*,LSU,SEC,12,236,327,72.2,3812,40,12.2,4,1.2,11.7,13.55,16.2,317.7,208,"H-1,AA,Camp"
6,Davis Brin*,Georgia Southern,Sun Belt,13,362,552,65.6,3781,24,4.3,19,3.4,6.8,6.17,10.4,290.8,130.6,
7,Joey Aguilar*,Appalachian State,Sun Belt,14,293,460,63.7,3757,33,7.2,10,2.2,8.2,8.62,12.8,268.4,151.6,
8,Cameron Ward,Washington State,Pac-12,12,323,485,66.6,3736,25,5.2,7,1.4,7.7,8.08,11.6,311.3,145.4,
9,Dillon Gabriel*,Oklahoma,Big 12,12,266,384,69.3,3660,30,7.8,6,1.6,9.5,10.39,13.8,305,172,
10,Jordan McCloud*,James Madison,Sun Belt,13,281,412,68.2,3657,35,8.5,10,2.4,8.9,9.48,13,281.3,165.9,
11,Caleb Williams*,USC,Pac-12,12,266,388,68.6,3633,30,7.7,5,1.3,9.4,10.33,13.7,302.8,170.1,
12,Drake Maye*,North Carolina,ACC,12,269,425,63.3,3608,24,5.6,9,2.1,8.5,8.67,13.4,300.7,149,
13,Gunnar Watson*,Troy,Sun Belt,14,268,439,61,3569,27,6.2,6,1.4,8.1,8.74,13.3,254.9,146.9,
14,Brayden Schager,Hawaii,MWC,13,332,525,63.2,3542,26,5,14,2.7,6.7,6.54,10.7,272.5,130.9,
15,Quinn Ewers*,Texas,Big 12,12,272,394,69,3479,22,5.6,6,1.5,8.8,9.26,12.8,289.9,158.6,
16,Alan Bowman*,Oklahoma State,Big 12,14,304,501,60.7,3460,15,3,14,2.8,6.9,6.25,11.4,247.1,123,
17,Brayden Fowler-Nicolosi,Colorado State,MWC,12,292,470,62.1,3460,22,4.7,16,3.4,7.4,6.77,11.8,288.3,132.6,
18,TJ Finley*,Texas State,Sun Belt,13,279,414,67.4,3439,24,5.8,8,1.9,8.3,8.6,12.3,264.5,152.4,
19,Chandler Rogers,North Texas,American,12,262,421,62.2,3382,29,6.9,5,1.2,8,8.88,12.9,281.8,150.1,
20,Taulia Tagovailoa*,Maryland,Big Ten,12,290,437,66.4,3377,25,5.7,11,2.5,7.7,7.74,11.6,281.4,145.1,
21,Jaxson Dart*,Ole Miss,SEC,13,233,358,65.1,3364,23,6.4,5,1.4,9.4,10.05,14.4,258.8,162.4,
22,Austin Reed*,Western Kentucky,CUSA,12,289,470,61.5,3340,31,6.6,11,2.3,7.1,7.37,11.6,278.3,138.3,
23,Brady Cook*,Missouri,SEC,13,244,369,66.1,3317,21,5.7,6,1.6,9,9.4,13.6,255.2,157.2,
24,Byrum Brown*,South Florida,American,13,276,427,64.6,3292,26,6.1,11,2.6,7.7,7.77,11.9,253.2,144.3,
25,Shedeur Sanders,Colorado,Pac-12,11,298,430,69.3,3230,27,6.3,3,0.7,7.5,8.45,10.8,293.6,151.7,
26,Jack Plummer*,Louisville,ACC,14,256,395,64.8,3204,21,5.3,12,3,8.1,7.81,12.5,228.9,144.4,
27,Preston Stone*,SMU,American,12,206,344,59.9,3197,28,8.1,6,1.7,9.3,10.14,15.5,266.4,161.3,
28,Spencer Rattler,South Carolina,SEC,12,275,399,68.9,3186,19,4.8,8,2,8,8.04,11.6,265.5,147.7,
29,Kyle McCord*,Ohio State,Big Ten,12,229,348,65.8,3170,24,6.9,6,1.7,9.1,9.71,13.8,264.2,161.6,
30,Jacob Zeno,UAB,American,11,279,379,73.6,3126,20,5.3,9,2.4,8.2,8.23,11.2,284.2,155.6,
31,Rocco Becht*,Iowa State,Big 12,13,231,367,62.9,3120,23,6.3,8,2.2,8.5,8.77,13.5,240,150.7,
32,Nicholas Vattiato,Middle Tennessee State,CUSA,12,286,428,66.8,3092,23,5.4,13,3,7.2,6.93,10.8,257.7,139.2,
33,Jayden Maiava*,Nevada-Las Vegas,MWC,14,224,353,63.5,3085,17,4.8,10,2.8,8.7,8.43,13.8,220.4,147.1,
34,E.J. Warner,Temple,American,10,256,445,57.5,3076,23,5.2,12,2.7,6.9,6.73,12,307.6,127.3,
35,J.J. McCarthy*,Michigan,Big Ten,15,240,332,72.3,2991,22,6.6,4,1.2,9,9.79,12.5,199.4,167.4,H-10
36,Mikey Keene*,Fresno State,MWC,12,283,422,67.1,2976,24,5.7,10,2.4,7.1,7.12,10.5,248,140.3,
37,Diego Pavia*,New Mexico State,CUSA,15,221,366,60.4,2973,26,7.1,9,2.5,8.1,8.44,13.5,198.2,147.1,
38,Graham Mertz,Florida,SEC,11,261,358,72.9,2903,20,5.6,3,0.8,8.1,8.85,11.1,263.9,157.8,
39,Kaidon Salter*,Liberty,CUSA,14,177,290,61,2876,32,11,6,2.1,9.9,11.19,16.2,205.4,176.6,
40,Noah Fifita*,Arizona,Pac-12,12,241,333,72.4,2869,25,7.5,6,1.8,8.6,9.31,11.9,239.1,165.9,
41,Cade Klubnik*,Clemson,ACC,13,290,454,63.9,2844,19,4.2,9,2,6.3,6.21,9.8,218.8,126.3,
42,Haynes King*,Georgia Tech,ACC,13,226,367,61.6,2842,27,7.4,16,4.4,7.7,7.25,12.6,218.6,142.2,
43,Jalen Milroe*,Alabama,SEC,13,187,284,65.8,2834,23,8.1,6,2.1,10,10.65,15.2,218,172.2,H-6
44,Joe Milton*,Tennessee,SEC,12,229,354,64.7,2813,20,5.6,5,1.4,7.9,8.44,12.3,234.4,147.3,
45,Donovan Smith,Houston,Big 12,12,256,397,64.5,2801,22,5.5,13,3.3,7.1,6.69,10.9,233.4,135.5,
46,Chevan Cordeiro*,San Jose State,MWC,13,223,362,61.6,2773,20,5.5,4,1.1,7.7,8.27,12.4,213.3,142,
47,Jordan Travis*,Florida State,ACC,11,207,324,63.9,2756,20,6.2,2,0.6,8.5,9.46,13.3,250.5,154.5,H-5
48,Devin Leary*,Kentucky,SEC,13,209,371,56.3,2746,25,6.7,12,3.2,7.4,7.29,13.1,211.2,134.3,
49,Tyler Van Dyke*,Miami (FL),ACC,11,219,333,65.8,2703,19,5.7,12,3.6,8.1,7.64,12.3,245.7,145.6,
50,Sam Hartman*,Notre Dame,Ind,12,191,301,63.5,2689,24,8,8,2.7,8.9,9.33,14.1,224.1,159.5,
51,Carter Bradley*,South Alabama,Sun Belt,11,221,326,67.8,2660,19,5.8,7,2.1,8.2,8.36,12,241.8,151.3,
52,DeQuan Finn*,Toledo,MAC,13,201,317,63.4,2657,22,6.9,9,2.8,8.4,8.49,13.2,204.4,151,
53,Will Howard*,Kansas State,Big 12,12,219,357,61.3,2643,24,6.7,10,2.8,7.4,7.49,12.1,220.3,140.1,
54,D.J. Uiagalelei*,Oregon State,Pac-12,12,180,315,57.1,2638,21,6.7,7,2.2,8.4,8.71,14.7,219.8,145,
55,Drew Allar*,Penn State,Big Ten,13,233,389,59.9,2631,25,6.4,2,0.5,6.8,7.82,11.3,202.4,136.9,
56,Darren Grainger*,Georgia State,Sun Belt,13,244,358,68.2,2621,20,5.6,7,2,7.3,7.56,10.7,201.6,144.2,
57,Jaylen Raynor*,Arkansas State,Sun Belt,11,166,285,58.2,2550,17,6,7,2.5,8.9,9.04,15.4,231.8,148.2,
58,Frank Harris*,UTSA,American,10,218,336,64.9,2506,18,5.4,8,2.4,7.5,7.46,11.5,250.6,140.4,
59,Keegan Shoemaker,Sam Houston,CUSA,11,264,419,63,2506,15,3.6,11,2.6,6,5.52,9.5,227.8,119.8,
60,JT Daniels*,Rice,American,9,181,287,63.1,2443,21,7.3,7,2.4,8.5,8.88,13.5,271.4,153.8,
61,Keyone Jenkins,Florida International,CUSA,11,194,332,58.4,2414,11,3.3,11,3.3,7.3,6.44,12.4,219.5,123.8,
62,Garrett Greene*,West Virginia,Big 12,12,147,277,53.1,2406,16,5.8,4,1.4,8.7,9.19,16.4,200.5,142.2,
63,Michael Pratt*,Tulane,American,11,185,283,65.4,2406,22,7.8,5,1.8,8.5,9.26,13,218.7,158.9,
64,Hudson Card,Purdue,Big Ten,11,215,365,58.9,2387,15,4.1,8,2.2,6.5,6.38,11.1,217,123,
65,Rocky Lombardi*,Northern Illinois,MAC,13,189,327,57.8,2274,11,3.4,7,2.1,7,6.66,12,174.9,123,
66,John Rhys Plumlee*,UCF,Big 12,10,161,256,62.9,2271,15,5.9,8,3.1,8.9,8.64,14.1,227.1,150.5,
67,Thomas Castellanos*,Boston College,ACC,13,189,330,57.3,2248,15,4.5,14,4.2,6.8,5.81,11.9,172.9,121,
68,Ashton Daniels,Stanford,Pac-12,12,191,325,58.8,2247,11,3.4,8,2.5,6.9,6.48,11.8,187.3,123.1,
69,Emory Jones,Cincinnati,Big 12,12,197,322,61.2,2219,18,5.6,10,3.1,6.9,6.61,11.3,184.9,131.3,
70,Kurtis Rourke*,Ohio,MAC,11,195,307,63.5,2207,11,3.6,5,1.6,7.2,7.17,11.3,200.6,132.5,
71,Josh Hoover,Texas Christian,Big 12,10,185,298,62.1,2206,15,5,9,3,7.4,7.05,11.9,220.6,134.8,
72,Blake Shapen,Baylor,Big 12,8,184,298,61.7,2188,13,4.4,3,1,7.3,7.76,11.9,273.5,135.8,
73,Cam Fancher*,Marshall,Sun Belt,10,202,309,65.4,2162,11,3.6,11,3.6,7,6.11,10.7,216.2,128.8,
74,Grant Wilson*,Old Dominion,Sun Belt,12,178,312,57.1,2149,17,5.4,8,2.6,6.9,6.82,12.1,179.1,127.8,
75,Jason Bean*,Kansas,Big 12,12,124,199,62.3,2130,18,9,7,3.5,10.7,10.93,17.2,177.5,175,
