Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1,Kyle McCord*,Syracuse,ACC,13,391,592,66,4779,34,5.7,12,2,8.1,8.31,12.2,367.6,148.8,H-10
2,Cameron Ward*,Miami (FL),ACC,13,305,454,67.2,4313,39,8.6,7,1.5,9.5,10.52,14.1,331.8,172.2,"H-4,AA"
3,Jaxson Dart*,Ole Miss,SEC,13,276,398,69.3,4279,29,7.3,6,1.5,10.8,11.53,15.5,329.2,180.7,
4,Shedeur Sanders*,Colorado,Big 12,13,353,477,74,4134,37,7.8,10,2.1,8.7,9.27,11.7,318,168.2,H-8
5,Garrett Nussmeier*,LSU,SEC,13,337,525,64.2,4052,29,5.5,12,2.3,7.7,7.79,12,311.7,142.7,
6,Will Howard*,Ohio State,Big Ten,16,309,423,73,4010,35,8.3,10,2.4,9.5,10.07,13,250.6,175.3,
7,Josh Hoover*,Texas Christian,Big 12,13,313,471,66.5,3949,27,5.7,11,2.3,8.4,8.48,12.6,303.8,151.1,
8,Dillon Gabriel,Oregon,Big Ten,14,326,447,72.9,3857,30,6.7,6,1.3,8.6,9.37,11.8,275.5,164.9,H-3
9,Chandler Morris*,North Texas,American,12,322,512,62.9,3774,31,6.1,12,2.3,7.4,7.53,11.7,314.5,140.1,
10,Cade Klubnik,Clemson,ACC,14,308,486,63.4,3639,36,7.4,6,1.2,7.5,8.41,11.8,259.9,148.2,
11,Rocco Becht*,Iowa State,Big 12,14,271,456,59.4,3505,25,5.5,9,2,7.7,7.89,12.9,250.4,138.1,
12,Seth Henigan*,Memphis,American,13,309,477,64.8,3502,25,5.2,6,1.3,7.3,7.82,11.3,269.4,141.2,
13,Carson Beck,Georgia,SEC,13,290,448,64.7,3485,28,6.3,12,2.7,7.8,7.82,12,268.1,145.3,
14,Quinn Ewers*,Texas,SEC,14,293,445,65.8,3472,31,7,12,2.7,7.8,7.98,11.8,248,149,
15,Owen McCown*,UTSA,American,13,294,467,63,3424,25,5.4,10,2.1,7.3,7.44,11.6,263.4,137.9,
16,Behren Morton*,Texas Tech,Big 12,12,295,466,63.3,3335,27,5.8,8,1.7,7.2,7.54,11.3,277.9,139.1,
17,Drew Allar*,Penn State,Big Ten,16,262,394,66.5,3327,24,6.1,8,2,8.4,8.75,12.7,207.9,153.5,
18,Kevin Jennings,SMU,ACC,14,247,380,65,3245,23,6.1,11,2.9,8.5,8.45,13.1,231.8,150.9,
19,Jordan McCloud*,Texas State,Sun Belt,13,273,389,70.2,3227,30,7.7,13,3.3,8.3,8.33,11.8,248.2,158.6,
20,Tyler Shough*,Louisville,ACC,12,244,389,62.7,3195,23,5.9,6,1.5,8.2,8.7,13.1,266.3,148.1,
21,Taylen Green*,Arkansas,SEC,13,230,381,60.4,3154,15,3.9,9,2.4,8.3,8,13.7,242.6,138.2,
22,John Mateer*,Washington State,Ind,12,224,347,64.6,3139,29,8.4,7,2,9,9.81,14,261.6,164.1,
23,Caden Veltkamp*,Western Kentucky,CUSA,13,258,389,66.3,3108,25,6.4,10,2.6,8,8.12,12,239.1,149.5,
24,Nicholas Vattiato,Middle Tennessee State,CUSA,12,269,418,64.4,3092,16,3.8,10,2.4,7.4,7.09,11.5,257.7,134.3,
25,Sawyer Robertson*,Baylor,Big 12,12,229,368,62.2,3071,28,7.6,8,2.2,8.3,8.89,13.4,255.9,153.1,
26,Connor Bazelak*,Bowling Green,MAC,13,269,402,66.9,3044,18,4.5,5,1.2,7.6,7.91,11.3,234.2,142.8,
27,Kurtis Rourke,Indiana,Big Ten,12,222,320,69.4,3042,29,9.1,5,1.6,9.5,10.62,13.7,253.5,176,H-9
28,Maddux Madsen,Boise State,MWC,14,247,396,62.4,3018,23,5.8,6,1.5,7.6,8.1,12.2,215.6,142.5,
29,Fernando Mendoza*,California,ACC,11,265,386,68.7,3004,16,4.1,6,1.6,7.8,7.91,11.3,273.1,144.6,
30,Joey Aguilar,Appalachian State,Sun Belt,11,218,390,55.9,3003,23,5.9,14,3.6,7.7,7.26,13.8,273,132.9,
31,Noah Fifita,Arizona,Big 12,12,260,430,60.5,2958,18,4.2,12,2.8,6.9,6.46,11.4,246.5,126.5,
