Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1,Austin Reed*,Western Kentucky,CUSA,14,389,603,64.5,4746,40,6.6,11,1.8,7.9,8.38,12.2,339,148.9,
2,Michael Penix Jr.*,Washington,Pac-12,13,362,554,65.3,4641,31,5.6,8,1.4,8.4,8.85,12.8,357,151.3,H-8
3,Caleb Williams*,USC,Pac-12,14,333,500,66.6,4537,42,8.4,5,1,9.1,10.3,13.6,324.1,168.5,"H-1,Maxwell,AA,Camp"
4,Drake Maye*,North Carolina,ACC,14,342,517,66.2,4321,38,7.4,7,1.4,8.4,9.22,12.6,308.6,157.9,H-10
5,Kyle Vantrease*,Georgia Southern,Sun Belt,13,371,604,61.4,4253,27,4.5,16,2.6,7,6.74,11.5,327.2,130,
6,Stetson Bennett*,Georgia,SEC,15,310,454,68.3,4128,27,5.9,7,1.5,9.1,9.59,13.3,275.2,161.2,H-4
7,Clayton Tune*,Houston,American,13,334,496,67.3,4074,40,8.1,10,2,8.2,8.92,12.2,313.4,158.9,
8,Frank Harris*,UTSA,CUSA,14,328,471,69.6,4063,32,6.8,9,1.9,8.6,9.13,12.4,290.2,160.7,
9,Will Rogers*,Mississippi State,SEC,13,415,610,68,3974,35,5.7,8,1.3,6.5,7.07,9.6,305.7,139.1,
10,Holton Ahlers*,East Carolina,American,13,315,469,67.2,3708,28,6,5,1.1,7.9,8.62,11.8,285.2,151.1,
11,Sam Hartman*,Wake Forest,ACC,12,270,428,63.1,3701,38,8.9,12,2.8,8.6,9.16,13.7,308.4,159.4,
12,Max Duggan*,Texas Christian,Big 12,15,267,419,63.7,3698,32,7.6,8,1.9,8.8,9.49,13.9,246.5,159.2,H-2
13,C.J. Stroud*,Ohio State,Big Ten,13,258,389,66.3,3688,41,10.5,6,1.5,9.5,10.89,14.3,283.7,177.7,H-3
14,Jayden De Laura,Arizona,Pac-12,12,272,435,62.5,3685,25,5.7,13,3,8.5,8.28,13.5,307.1,146.7,
15,Bo Nix*,Oregon,Pac-12,13,294,409,71.9,3593,29,7.1,7,1.7,8.8,9.43,12.2,276.4,165.7,
16,Seth Henigan*,Memphis,American,13,285,445,64,3559,22,4.9,8,1.8,8,8.18,12.5,273.8,143.9,
17,Austin Aune*,North Texas,CUSA,14,232,411,56.4,3547,33,8,15,3.6,8.6,8.59,15.3,253.4,148.1,
18,Tanner Mordecai*,SMU,American,12,288,443,65,3524,33,7.4,10,2.3,8,8.43,12.2,293.7,151.9,
19,Aidan O'Connell*,Purdue,Big Ten,12,320,499,64.1,3490,22,4.4,13,2.6,7,6.7,10.9,290.8,132.2,
20,Carter Bradley*,South Alabama,Sun Belt,13,275,425,64.7,3335,28,6.6,12,2.8,7.8,7.89,12.1,256.5,146.7,
21,Bryce Young*,Alabama,SEC,12,245,380,64.5,3328,32,8.4,5,1.3,8.8,9.85,13.6,277.3,163.2,H-6
22,Kurtis Rourke*,Ohio,MAC,11,244,353,69.1,3257,25,7.1,4,1.1,9.2,10.13,13.3,296.1,167.7,
23,Chevan Cordeiro*,San Jose State,MWC,12,259,427,60.7,3251,23,5.4,6,1.4,7.6,8.06,12.6,270.9,139.6,
24,Cameron Ward*,Washington State,Pac-12,13,320,497,64.4,3232,23,4.6,9,1.8,6.5,6.61,10.1,248.6,130.7,
25,Jordan Travis*,Florida State,ACC,13,226,353,64,3214,24,6.8,5,1.4,9.1,9.83,14.2,247.2,160.1,
26,Jaren Hall*,BYU,Ind,12,248,376,66,3171,31,8.2,6,1.6,8.4,9.36,12.8,264.3,160.8,
27,Dorian Thompson-Robinson*,UCLA,Pac-12,13,266,382,69.6,3169,27,7.1,10,2.6,8.3,8.53,11.9,243.8,157.4,
28,Dillon Gabriel*,Oklahoma,Big 12,12,230,367,62.7,3168,25,6.8,6,1.6,8.6,9.26,13.8,264,154.4,
29,Chase Cunningham*,Middle Tennessee State,CUSA,12,309,463,66.7,3156,21,4.5,10,2.2,6.8,6.75,10.2,263,134.6,
30,Hendon Hooker*,Tennessee,SEC,11,229,329,69.6,3135,27,8.2,2,0.6,9.5,10.9,13.7,285,175.5,H-5
31,Jack Plummer,California,Pac-12,12,282,451,62.5,3119,21,4.7,9,2,6.9,6.95,11.1,259.9,132,
32,Hunter Dekkers,Iowa State,Big 12,12,302,457,66.1,3044,19,4.2,14,3.1,6.7,6.11,10.1,253.7,129.6,
33,Cameron Rising*,Utah,Pac-12,13,249,385,64.7,3034,26,6.8,8,2.1,7.9,8.3,12.2,233.4,149,
34,Cole Snyder*,Buffalo,MAC,13,271,461,58.8,3030,18,3.9,8,1.7,6.6,6.57,11.2,233.1,123.4,
35,E.J. Warner,Temple,American,11,268,443,60.5,3028,18,4.1,12,2.7,6.8,6.43,11.3,275.3,125.9,
36,Spencer Rattler*,South Carolina,SEC,13,264,399,66.2,3026,18,4.5,12,3,7.6,7.13,11.5,232.8,138.7,
37,Michael Pratt*,Tulane,American,13,215,338,63.6,3009,27,8,5,1.5,8.9,9.83,14,231.5,161.8,
38,Taulia Tagovailoa*,Maryland,Big Ten,12,262,391,67,3008,18,4.6,8,2,7.7,7.69,11.5,250.7,142.7,
39,Jaxson Dart*,Ole Miss,SEC,13,226,362,62.4,2974,20,5.5,11,3,8.2,7.95,13.2,228.8,143.6,
40,Riley Leonard*,Duke,ACC,13,250,392,63.8,2967,20,5.1,6,1.5,7.6,7.9,11.9,228.2,141.1,
41,Tanner McKee,Stanford,Pac-12,12,264,426,62,2947,13,3.1,8,1.9,6.9,6.68,11.2,245.6,126.4,
42,Chase Brice,Appalachian State,Sun Belt,12,219,349,62.8,2921,27,7.7,6,1.7,8.4,9.14,13.3,243.4,155.1,
43,Jayden Daniels*,LSU,SEC,14,266,388,68.6,2913,17,4.4,3,0.8,7.5,8.04,11,208.1,144.5,
44,Hayden Wolff,Old Dominion,Sun Belt,12,234,413,56.7,2908,18,4.4,6,1.5,7,7.26,12.4,242.3,127.3,
45,Jake Haener*,Fresno State,MWC,10,252,350,72,2896,20,5.7,3,0.9,8.3,9.03,11.5,289.6,158.6,
46,Sean Clifford*,Penn State,Big Ten,13,226,351,64.4,2822,24,6.8,7,2,8,8.51,12.5,217.1,150.5,
47,Gunnar Watson*,Troy,Sun Belt,13,206,335,61.5,2818,14,4.2,12,3.6,8.4,7.64,13.7,216.8,138.8,
48,Blake Shapen*,Baylor,Big 12,13,233,368,63.3,2790,18,4.9,10,2.7,7.6,7.34,12,214.6,137.7,
49,Brady Cook*,Missouri,SEC,13,248,383,64.8,2739,14,3.7,7,1.8,7.2,7.06,11,210.7,133.2,
50,Ben Bryant*,Cincinnati,American,11,213,348,61.2,2731,21,6,7,2,7.8,8.15,12.8,248.3,143,
51,J.J. McCarthy*,Michigan,Big Ten,14,208,322,64.6,2719,22,6.8,5,1.6,8.4,9.11,13.1,194.2,155,
52,John Paddock,Ball State,MAC,12,286,480,59.6,2719,18,3.8,14,2.9,5.7,5.1,9.5,226.6,113.7,
53,N'Kosi Perry,Florida Atlantic,CUSA,12,215,371,58,2712,25,6.7,5,1.3,7.3,8.05,12.6,226,138.9,
54,Grayson McCall*,Coastal Carolina,Sun Belt,11,207,297,69.7,2700,24,8.1,2,0.7,9.1,10.4,13,245.5,171.4,
55,Todd Centeio,James Madison,Sun Belt,10,181,284,63.7,2697,25,8.8,5,1.8,9.5,10.46,14.9,269.7,169,
56,Payton Thorne,Michigan State,Big Ten,12,242,387,62.5,2679,19,4.9,11,2.8,6.9,6.63,11.1,223.3,131.2,
57,Matt McDonald*,Bowling Green,MAC,12,231,378,61.1,2654,22,5.8,9,2.4,7,7.11,11.5,221.2,134.5,
58,Layne Hatcher,Texas State,Sun Belt,12,275,442,62.2,2653,19,4.3,10,2.3,6,5.84,9.6,221.1,122.3,
59,Tommy Devito*,Illinois,Big Ten,13,257,369,69.6,2650,15,4.1,4,1.1,7.2,7.51,10.3,203.8,141.2,
60,Spencer Sanders*,Oklahoma State,Big 12,10,212,368,57.6,2642,17,4.6,9,2.4,7.2,7,12.5,264.2,128.3,
61,Garrett Shrader*,Syracuse,ACC,12,205,317,64.7,2640,17,5.4,7,2.2,8.3,8.41,12.9,220,147.9,
62,K.J. Jefferson*,Arkansas,SEC,11,204,300,68,2636,24,8,5,1.7,8.8,9.64,12.9,239.6,164.9,
63,Demarcus Irons Jr.,Akron,MAC,10,253,379,66.8,2606,10,2.6,7,1.8,6.9,6.57,10.3,260.6,129.5,
64,John Rhys Plumlee*,UCF,American,13,218,346,63,2586,14,4,8,2.3,7.5,7.24,11.9,198.9,134.5,
65,Anthony Richardson*,Florida,SEC,12,176,327,53.8,2549,17,5.2,9,2.8,7.8,7.6,14.5,212.4,131,
66,Chris Reynolds,Charlotte,CUSA,10,201,316,63.6,2540,22,7,11,3.5,8,7.86,12.6,254,147.1,
67,D.J. Uiagalelei*,Clemson,ACC,13,229,370,61.9,2521,22,5.9,7,1.9,6.8,7.15,11,193.9,135,
68,James Blackman,Arkansas State,Sun Belt,11,223,347,64.3,2471,14,4,3,0.9,7.1,7.54,11.1,224.6,135.7,
69,Darren Grainger,Georgia State,Sun Belt,12,174,297,58.6,2443,18,6.1,7,2.4,8.2,8.38,14,203.6,143,
70,Casey Thompson,Nebraska,Big Ten,10,173,274,63.1,2407,17,6.2,10,3.6,8.8,8.38,13.9,240.7,150.1,
71,Will Levis*,Kentucky,SEC,11,185,283,65.4,2406,19,6.7,10,3.5,8.5,8.25,13,218.7,151.9,
72,Chandler Rogers,Louisiana-Monroe,Sun Belt,12,216,320,67.5,2403,15,4.7,7,2.2,7.5,7.46,11.1,200.3,141.7,
